ID;weibo_poiid;;dianping_id;;classification;weibo_title;dianping_title;address;dianping_addr;dianping_tag;dianping_tag_2;2015 bjdw event no.;lat;lon;lat_wgs;lng_wgs;lat_BD;lng_BD;weibo count;dianping count
52;B2094654D36EABFB479C;;;;4;北京琉璃厂文化创意产业园区办公室;;小沙土园12号;;;;;39.89427;116.38544;39.89287281;116.3792044;;;8;
53;B2094757D068A6F4459B;;;;6;八大胡同;;西城区珠市口西大街(南新华街口);;;;;39.89269;116.39043;39.89128982;116.3841912;;;2062;
54;B2094757D66FA0F44593;;;;6;杨梅竹斜街;;北京前门;;;;;39.89518675;116.3885457;39.89378749;116.3823077;;;767;
55;B2094757D465A2FB4398;;516180;;2;德缘烤鸭店 大栅栏店;德缘烤鸭店(大栅栏店);西城区大栅栏西街57号;大栅栏西街57号;北京菜;菜市口;;39.89478;116.39221;39.89337887;116.38597;;;141;517
56;B2094654D164A1FC489E;;3990118;;1;一得阁;;东城区琉璃厂东街67号;;;;;39.89519;116.38906;39.89379045;116.3828217;;;13;16
57;B2094654D36EA0FD409A;;;;0;高家寨小区;;北京宣武区虎坊路高家寨胡同-福州馆小学以南;;;;;39.89252;116.389325;39.89112042;116.3830869;;;180;
58;B2094654D164A0F9489A;;11253538;;1;中国书店;;南新华街177号瑞祥大厦中国书店;;;;;39.89522;116.38907;39.89382044;116.3828317;;;9;1
59;B2094654D36EABFA4898;;2898766;;2;福乐居火锅店;;西城区大栅栏西街106号;;;;;39.89436;116.39134;39.89295929;116.3851005;;;13;33
60;B2094654D36EABF4469A;;2288272;;4;欣燕都连锁酒店大栅栏店;欣燕都连锁酒店(大栅栏店);北京市宣武区樱桃斜街57号;樱桃斜街57号;经济型;宣武门;;39.8933;116.38771;39.89190134;116.3814728;;;31;57
61;B2094654D36EAAFE439A;;;;1;融德画廊(琉璃厂东街);;琉璃厂东街49;;;;;39.89524;116.38856;39.89384074;116.382322;;;3;
62;B2094654D168A4F54593;;2968930;;2;SakuraCafeBar;Sakura Cafe Bar;宣武区大栅栏西街55号(近安怡之家宾馆);大栅栏西街55号;西餐;前门;;39.89488;116.39235;39.89347881;116.3861099;;;49;7
63;B2094654D36EABF4499F;;;;2;铁树斜街小吃店;;铁树斜街20号;;;;;39.89384;116.3904;39.89243978;116.3841611;;;10;
64;B2094654D16DAAF9499F;;;;5;东南园小区(南门);;;;;;;39.89389;116.38792;39.89249118;116.3816826;;;5;
65;B2094751D26AA2FD4398;;;;0;Mix club;;朝阳区工人体育场;;;;;39.894496;116.389564;39.8930962;116.3833255;;;15;
66;B2094753D56DA1FB459F;B209475CD76DAAF84493;11556074;;4;上林青年旅舍;;北京市 北京陕西巷22号;;;;;39.893974;116.388977;39.89257455;116.3827389;;;18;58
67;B2094654D168AAFD429E;;2287774;;4;安怡之家宾馆前门店;安怡之家宾馆(前门店);西城区大栅栏西街55号;大栅栏西街55号;经济型;宣武门;;39.89488;116.39235;39.89347881;116.3861099;;;10;5
68;B2094757D56EA5FA429D;;4096526;;3;谭鑫培故居;;中国北京市宣武区铁树斜街72;;;;;39.89315565;116.3886977;39.8917564;116.3824598;;;6;3
69;B2094654D065A0F8439F;;2725756;;2;暖日酒吧;;西城区铁树斜街5号(德缘烤鸭店西侧);;;;;39.89427;116.39096;39.89286948;116.3847207;;;8;4
70;B2094757D16CA2F5479D;;;;6;铁树花开;;北京铁树斜街;;;;;39.893448;116.38908;39.89204852;116.3828419;;;5;
71;B2094753D769ABF9429C;;;;0;狗不理包子(前门店);;北京市西城区前门大栅栏29-31号;;;;;39.894872;116.392741;39.89347064;116.3865007;;;94;
72;B2094757D66CA3FA4992;;5211031;;2;贾大爷卤煮;贾大爷卤煮;东城区大栅栏西街;大栅栏西街40号;小吃快餐;前门;;39.89487735;116.3940058;39.8934755;116.387765;;;43;117
73;B2094654D068ABFF419F;;2199664;;2;京川人家酒楼(大栅栏西街);京川人家酒楼(粮食店街店);崇文区前门大栅栏西街店43号近西郊民巷;前门大栅栏西街店43号;川菜;前门;;39.89515;116.39291;39.89374856;116.3866696;;;5;64
74;B2094757D464A2FA459B;;;;0;门框锅贴店;;西城区门框胡同中段(近大栅栏步行街);;;;;39.89498;116.39328;39.89357842;116.3870395;;;32;
75;B2094654D36EABF94898;;4016185;;2;西华京兆饭店餐厅;西华京兆酒店;东城区煤市街81号西华京兆饭店内;前门煤市街81号;三星级/舒适型;前门;;39.89477;116.39446;39.89336799;116.388219;;;51;44
76;B2094654D36EABF9499A;B2094654D06EAAF44692;2227558;;4;欣燕都连锁酒店棕树斜街店;;东城区棕树斜街42号(近珠市口大街);;;;;39.89239;116.39214;39.89098902;116.3859003;;;105;110
77;B2094750D46BA6FF4792;;5394067;;2;京味贾家;京味贾家;大栅栏西街;大栅栏西街;家常菜;前门;;39.8954;116.394;39.89399812;116.3877591;;;10;22
78;B2094757D465A0FF499E;;2672239;;2;天海老北京;天海餐厅(大栅栏店);西城区大栅栏西街37号;大栅栏西街37号;家常菜;前门;72;39.89524;116.39324;39.89383842;116.3869995;;;5;59
79;B2094753D068A4FD469B;;5146143;;4;阿来客栈;阿来客栈;东城区前门大栅栏西街52号;前门大栅栏西街52号;经济型;前门;;39.894989;116.393013;39.89358752;116.3867726;;;162;59
80;B2094757D16DA2FA439F;;5342143;;2;no.98;;北京前门大栅栏煤市街98号;;;;;39.89439311;116.3945324;39.89299109;116.3882914;;;63;59
81;B2094654D168A2FD439C;;;;6;大栅栏商业建筑;;;;;;;39.89422;116.39454;39.89281798;116.3882991;;;7;
82;B2094654D36EABF94892;;3621970;;4;博兴饭店(博兴胡同);;博兴胡同8号;;;;;39.89295;116.39363;39.89154837;116.3873896;;;3;4
83;B2094757D068A4F44593;;580316;;2;虎坊桥烤肉城;;西城区南新华街临11号1楼(虎坊桥路口西北角向北50米);;;;;39.89043;116.38473;39.88903351;116.3784955;;;225;924
84;B2094654D36EABF4479F;;9007979;;4;远东饭店(铁树斜街);;北京市西城区铁树斜街90号;;;;;39.89207;116.38706;39.89067181;116.3808235;;;411;4
85;B2094654D36EABF4469D;;3457540;;2;陆仁餐厅;;西城区铁树斜街149号(近远东饭店);;;;;39.89174;116.38561;39.89034281;116.3793746;;;13;80
86;B2094757D16FAAF54199;;;;2;和平门三千里烤肉;;北京宣武区南华街;;;;;39.8915596;116.3849411;39.8901629;116.3787063;;;13;
87;B2094757D065A3F44193;;;;4;中国联通北京分公司;;北京骡马市大街9号;;;;;39.89082336;116.3849335;39.8894267;116.3786988;;;56;
88;B2094757D66DA2F4449D;;4717729;;2;一番日本料理;;西城区韩家胡同80号(近五道街);;;;;39.891193;116.386991;39.8897949;116.3807546;;;28;150
89;B2094654D069ABFE409E;;2722456;;4;飘HOME连锁酒店(珠市口店);;东城区珠市口西大街韩家胡同17号(近琉璃厂古文化街);;;;;39.89122;116.38641;39.88982228;116.3801741;;;15;89
90;B2094654D36EAAFC4098;;;;5;大栅栏文体广场;;西城区珠市口西大街;;;;;39.89006;116.38687;39.88866203;116.3806339;;;146;
91;B2094654D06BAAFB489A;;2288095;;4;远东国际青年旅社;;宣武区铁树斜街113号;;;;;39.89215;116.38697;39.89075187;116.3807335;;;39;89
92;B2094654D06FA3FC409C;B2094654D36EABF5499F;;;2;南来顺饭庄(虎坊桥店);;宣武区虎坊桥路口东(晋阳饭庄东);;;;;39.88969;116.38628;39.88829244;116.3800444;;;11;
93;B2094757D068A5FD409F;;508439;;2;晋阳饭庄(珠市口店);;西城区珠市口西大街241号(纪晓岚故居旁边);;;;;39.88966;116.3875;39.88826164;116.3812634;;;458;2322
94;B2094757D06BA4FF479E;;1769026;;3;纪晓岚故居;;北京宣武区珠市口西大街241号(陕西巷南口);;;;;39.88988;116.38765;39.88848154;116.3814133;;;533;184
95;B2094757D66EA3FF4492;;;;6;石头胡同;;北京市宣武区石头胡同;;;;;39.89144142;116.3898898;39.89004159;116.3836515;;;246;
96;B2094654D16AA5F84099;;;;5;北京市第九十五中学;;北京市宣武区韩家胡同25号;;;;;39.89108;116.38907;39.88968063;116.3828322;;;5;
97;B2094757DB69A0F5449D;;;;0;大董烤鸭（南新仓店）;;东四十条;;;;;39.891621;116.391686;39.89022026;116.3854466;;;27;
